regularization_type,lambda,eval_accuracy,eval_cost
None,0.0,9620,0.28093895194525964
l1,0.01,1064,3.2506431598909504
l1,0.1,1064,3.251056991521472
l1,1.0,1064,3.2507617795478025
l2,0.01,9632,0.2622455848494909
l2,0.1,9632,0.26847380308661944
l2,1.0,9642,0.2638797965630523
